Tree Number,Survey date,Location,Rep,Plot,Subplot,Treat,Tree cover (%),Cover,Tree #,Year planted,Genotype,Staple flag,Plastic marker,Staple paint,Species,Basal diam (mm),Height (cm),Crown diameter1 (cm),Crown diameter2 (cm) ,Avg crown diam (cm),Condition,Damage & notes,,,,
108,2021-AUG-08,Alex Fraser,1,ICH1,5C,30Ret,10,partial,1,2020,Alex Fraser B class Fd,orange & black stripe,,,Fd,,,,,,D,,,,,
109,2021-AUG-08,Alex Fraser,1,ICH1,5C,30Ret,10,partial,4,2020,Jaffray B class Fd,blue,,,Fd,,,,,,D,,,,,
110,2021-AUG-08,Alex Fraser,1,ICH1,5C,30Ret,10,partial,5,2020,John Prince B class Fd,pink polka,,,Fd,,,,,,D,,,,,
111,2021-AUG-08,Alex Fraser,1,ICH1,5C,30Ret,10,partial,3,2020,Ponderosa pine,pink & green,,,Py,4.2,7.5,6,5,5.5,P,browsed top,,,,
112,2021-AUG-08,Alex Fraser,1,ICH1,5D,30Ret,20,partial,1,2020,Jaffray B class Fd,blue,,,Fd,,,,,,D,,,,,
113,2021-AUG-08,Alex Fraser,1,ICH1,5D,30Ret,20,partial,3,2020,Peterhope B class Fd,pink ,,,Fd,,,,,,D,,,,,
114,2021-AUG-08,Alex Fraser,1,ICH1,5D,30Ret,20,partial,2,2020,Lodgepole pine,blue & green,,,Pl,3.4,26,10,11,10.5,G,,,,,
115,2021-AUG-08,Alex Fraser,1,ICH1,5E,30Ret,,open,1,2020,Lodgepole pine,blue & green,,,Pl,6.6,39,20,12,16,G,,,,,
116,2021-AUG-08,Alex Fraser,1,ICH1,5F,30Ret,0,open,1,2020,Jaffray B class Fd,blue,,,Fd,2.6,15,4,5,4.5,G,,,,,
117,2021-AUG-08,Alex Fraser,1,ICH1,5F,30Ret,0,open,2,2020,John Prince B class Fd,pink polka,,,Fd,,,,,,D,,,,,
118,2021-AUG-08,Alex Fraser,1,ICH1,5F,30Ret,0,open,3,2020,Peterhope B class Fd,pink,,,Fd,3.7,18,9,12,10.5,G,frost,,,,
119,2021-AUG-08,Alex Fraser,1,ICH1,5G,30Ret,0,open,1,2020,Alex Fraser future Fd,pink & blue,,,Fd,,,,,,D,,,,,
120,2021-AUG-08,Alex Fraser,1,ICH1,5G,30Ret,0,open,2,2020,Lodgepole pine,blue & green,,,Pl,5.7,35,10,8,9,G,,,,,
121,2021-AUG-08,Alex Fraser,1,ICH1,5G,30Ret,0,open,3,2020,Venables future Fd,pink & orange,,,Fd,,,,,,D,,,,,
122,2021-AUG-08,Alex Fraser,1,ICH1,5H,30Ret,0,open,2,2020,Peterhope B class Fd,pink,,,Fd,,,,,,D,,,,,
123,2021-AUG-08,Alex Fraser,1,ICH1,5H,30Ret,0,open,1,2020,Ponderosa pine,pink & green,,,Py,4.1,23,25,20,22.5,G,,,,,
124,2021-AUG-08,Alex Fraser,1,ICH1,5I,30Ret,10,partial,1,2020,Alex Fraser future Fd,pink & blue,,,Fd,5.6,29.5,13,11,12,G,veg,,,,
125,2021-AUG-08,Alex Fraser,1,ICH1,6A,30Ret,0,open,2,2020,Alex Fraser future Fd,pink & blue,,,Fd,,,,,,D,,,,,
126,2021-AUG-08,Alex Fraser,1,ICH1,6A,30Ret,0,open,3,2020,Peterhope B class Fd,pink,,,Fd,,,,,,D,,,,,
127,2021-AUG-08,Alex Fraser,1,ICH1,6A,30Ret,0,open,1,2020,Lodgepole pine,blue & green,,,Pl,5,35,17,17,17,G,,,,,
128,2021-AUG-08,Alex Fraser,1,ICH1,6B,30Ret,0,open,2,2020,Alex Fraser future Fd,pink & blue,,,Fd,4.3,19.5,18,14,16,G,drought,,,,
129,2021-AUG-08,Alex Fraser,1,ICH1,6B,30Ret,0,open,1,2020,Lodgepole pine,blue & green,,,Pl,7.4,35,23,24,23.5,G,drought,,,,
130,2021-AUG-08,Alex Fraser,1,ICH1,6C,30Ret,20,partial,2,2020,Alex Fraser future Fd,pink & blue,,,Fd,,,,,,D,,,,,
131,2021-AUG-08,Alex Fraser,1,ICH1,6C,30Ret,20,partial,1,2020,John Prince B class Fd,pink polka,,,Fd,3.3,12.5,8,6,7,M,,,,,
132,2021-AUG-08,Alex Fraser,1,ICH1,6C,30Ret,20,partial,3,2020,Ponderosa pine,pink & green,,,Py,6.5,24,12,13,12.5,G,,,,,
133,2021-AUG-08,Alex Fraser,1,ICH1,6D,30Ret,0,open,4,2020,Alex Fraser future Fd,pink & blue,,,Fd,,,,,,D,,,,,
134,2021-AUG-08,Alex Fraser,1,ICH1,6D,30Ret,0,open,1,2020,Peterhope B class Fd,pink,,,Fd,4,17,8,10,9,G,frost,,,,
135,2021-AUG-08,Alex Fraser,1,ICH1,6D,30Ret,0,open,3,2020,Larch,green,,,Lw,,,,,,D,,,,,
136,2021-AUG-08,Alex Fraser,1,ICH1,6D,30Ret,0,open,2,2020,Redfish B class Fd,white & blue stripe,,,Fd,3.5,24,12,11,11.5,G,drought,,,,
137,2021-AUG-08,Alex Fraser,1,ICH1,6E,30Ret,0,open,no trees,2020,,,,,,,,,,,,,,,,
138,2021-AUG-08,Alex Fraser,1,ICH1,6F,30Ret,0,open,3,2020,Alex Fraser future Fd,pink & blue,,,Fd,3.8,25,12,10,11,G,frost,,,,
139,2021-AUG-08,Alex Fraser,1,ICH1,6F,30Ret,0,open,2,2020,Peterhope B class Fd,pink,,,Fd,,,,,,D,,,,,
140,2021-AUG-08,Alex Fraser,1,ICH1,6F,30Ret,0,open,1,2020,Redfish B class Fd,white & blue stripe,,,Fd,3.3,19,7,10,8.5,M,"drought, veg",,,,
141,2021-AUG-08,Alex Fraser,1,ICH1,6G,30Ret,0,open,2,2020,Alex Fraser B class Fd,orange & black stripe,,,Fd,4.2,26,17,13,15,G,drought,,,,
142,2021-AUG-08,Alex Fraser,1,ICH1,6G,30Ret,0,open,1,2020,Alex Fraser future Fd,pink & blue,,,Fd,4.8,17,10,6,8,M,browsed top & laterals,,,,
143,2021-AUG-08,Alex Fraser,1,ICH1,6H,30Ret,70,partial,1,2020,Jaffray B class Fd,blue,,,Fd,,,,,,D,,,,,
144,2021-AUG-08,Alex Fraser,1,ICH1,6H,30Ret,70,partial,2,2020,Redfish B class Fd,white & blue stripe,,,Fd,,,,,,D,,,,,
145,2021-AUG-08,Alex Fraser,1,ICH1,6I,30Ret,5,partial,2,2020,Alex Fraser future Fd,pink & blue,,,Fd,,,,,,D,,,,,
146,2021-AUG-08,Alex Fraser,1,ICH1,6I,30Ret,5,partial,1,2020,Peterhope B class Fd,pink,,,Fd,,,,,,D,,,,,
147,2021-AUG-08,Alex Fraser,1,ICH1,6I,30Ret,5,partial,3,2020,Larch,green,,,Lw,,,,,,D,,,,,
148,2021-AUG-08,Alex Fraser,1,ICH1,7A,30Ret,60,partial,2,2020,Alex Fraser A class Fd,blue & orange,,,Fd,2.4,14,12,10,11,M,"drought, nutrient deficient?, yellow striping/mottling on needles",,,,
149,2021-AUG-08,Alex Fraser,1,ICH1,7A,30Ret,60,partial,1,2020,Alex Fraser B class Fd,orange & black stripe,,,Fd,,,,,,D,,,,,
150,2021-AUG-08,Alex Fraser,1,ICH1,7A,30Ret,60,partial,4,2020,Alex Fraser B class Fd,orange & black stripe,,,Fd,,,,,,D,,,,,
151,2021-AUG-08,Alex Fraser,1,ICH1,7A,30Ret,60,partial,3,2020,Alex Fraser future Fd,pink & blue,,,Fd,3.7,15,12,8,10,G,browsed top,,,,
152,2021-AUG-08,Alex Fraser,1,ICH1,7B,30Ret,15,partial,3,2020,Alex Fraser B class Fd,orange & black stripe,,,Fd,,,,,,D,,,,,
153,2021-AUG-08,Alex Fraser,1,ICH1,7B,30Ret,15,partial,4,2020,Alex Fraser future Fd,pink & blue,,,Fd,,,,,,D,,,,,
154,2021-AUG-08,Alex Fraser,1,ICH1,7B,30Ret,15,partial,2,2020,Jaffray B class Fd,blue,,,Fd,,,,,,D,,,,,
155,2021-AUG-08,Alex Fraser,1,ICH1,7B,30Ret,15,partial,5,2020,John Prince B class Fd,pink polka,,,Fd,,,,,,D,,,,,
156,2021-AUG-08,Alex Fraser,1,ICH1,7B,30Ret,15,partial,8,2020,John Prince B class Fd,pink polka,,,Fd,3,11.5,7,4,5.5,P,"drought, browsed top, poor microsite",,,,
157,2021-AUG-08,Alex Fraser,1,ICH1,7B,30Ret,15,partial,1,2020,Peterhope B class Fd,pink,,,Fd,,,,,,D,,,,,
158,2021-AUG-08,Alex Fraser,1,ICH1,7B,30Ret,15,partial,7,2020,Lodgepole pine,blue & green,,,Pl,5.2,24.5,9,9,9,G,drought,,,,
159,2021-AUG-08,Alex Fraser,1,ICH1,7B,30Ret,15,partial,6,2020,Ponderosa pine,pink & green,,,Py,7,13.5,11,13,12,G,vwg,,,,
160,2021-AUG-08,Alex Fraser,1,ICH1,7C,30Ret,0,open,1,2020,Larch,green,,,Lw,,,,,,D,,,,,
161,2021-AUG-08,Alex Fraser,1,ICH1,7C,30Ret,0,open,2,2020,Ponderosa pine,pink & green,,,Py,8.6,32,14,18,16,G,,,,,
162,2021-AUG-08,Alex Fraser,1,ICH1,7C,30Ret,0,open,3,2020,Venables B class Fd,white & red stripe,,,Fd,5.6,21.5,12,11,11.5,G,,,,,
163,2021-AUG-08,Alex Fraser,1,ICH1,7D,30Ret,0,open,2,2020,Alex Fraser future Fd,pink & blue,,,Fd,2.8,13,6,5,5.5,P,slash,,,,
164,2021-AUG-08,Alex Fraser,1,ICH1,7D,30Ret,0,open,1,2020,Peterhope B class Fd,pink,,,Fd,,,,,,D,,,,,
165,2021-AUG-08,Alex Fraser,1,ICH1,7D,30Ret,0,open,3,2020,Ponderosa pine,pink & green,,,Py,,,,,,D,,,,,
